timestep	volume	lx	ly	lz	potential_energy	kinetic_energy	temperature	pressure
0	13824	24	24	24	1805.634384	0	0	0.9276391733
100	13824	24	24	24	-1552.958139	1534.362341	0.6114215347	-0.006648732022
200	13824	24	24	24	-1859.664807	915.1551378	0.3646762852	-0.02717243446
300	13824	24	24	24	-2178.178814	688.2558582	0.2742601547	-0.05134363871
400	13824	24	24	24	-2524.478824	636.0655843	0.253463074	-0.04792168448
500	13824	24	24	24	-2905.638001	630.8445429	0.2513825634	-0.05284729484
600	13824	24	24	24	-3284.616955	606.9218747	0.2418497209	-0.04138345328
700	13824	24	24	24	-3637.830015	603.700588	0.2405660841	-0.04661963823
800	13824	24	24	24	-4019.595764	627.1644365	0.2499160934	-0.03698474722
900	13824	24	24	24	-4359.043202	608.172932	0.2423482495	-0.04317849847
1000	13824	24	24	24	-4671.282724	578.2113365	0.2304089805	-0.04661759794
1100	13824	24	24	24	-4972.767022	557.6538739	0.2222171245	-0.03200694251
1200	13824	24	24	24	-5224.232731	530.9563845	0.2115785553	-0.03661176545
1300	13824	24	24	24	-5485.962859	510.2687526	0.2033348287	-0.04286639409
1400	13824	24	24	24	-5682.225215	470.8779476	0.1876381541	-0.03652536941
1500	13824	24	24	24	-5896.939826	456.8472618	0.1820471256	-0.03854681411
1600	13824	24	24	24	-6069.457029	442.4812091	0.1763224583	-0.03771791676
1700	13824	24	24	24	-6236.476788	432.3903438	0.1723013922	-0.0399937024
1800	13824	24	24	24	-6388.87016	402.2018541	0.1602717091	-0.0281614151
1900	13824	24	24	24	-6521.71903	389.5024281	0.1552111688	-0.03154894686
2000	13824	24	24	24	-6623.312047	366.6005589	0.1460851002	-0.03211783603
2100	13174.49303	23.61808261	23.61808261	23.61808261	-6723.012322	473.1143714	0.1885293371	-0.002050170748
2200	11604.99736	22.64027418	22.64027418	22.64027418	-6800.602215	605.2686499	0.2411909344	0.02898897388
2300	9637.846627	21.28106396	21.28106396	21.28106396	-6866.441586	774.8554429	0.3087688555	0.03838101448
2400	7687.717955	19.73630345	19.73630345	19.73630345	-6885.450978	986.2707182	0.3930148309	0.01649878577
2500	5933.837103	18.1041667	18.1041667	18.1041667	-6960.704792	1286.358146	0.5125953959	0.007276568978
2600	4477.672264	16.48228557	16.48228557	16.48228557	-7061.328497	1740.321535	0.6934933394	0.09578624152
2700	3379.211989	15.00623739	15.00623739	15.00623739	-7272.727956	2465.766628	0.9825728741	0.3874065792
2800	2717.616595	13.95498568	13.95498568	13.95498568	-7569.270666	3801.634001	1.514896992	1.416779376
2900	2724.385059	13.96656145	13.96656145	13.96656145	-7227.350213	3989.254076	1.589660919	1.271877093
